Date,Price,Open,High,Low,Change %
"Jan 30, 2013",1677.10,1663.96,1683.79,1662.79,0.0080
"Jan 29, 2013",1663.85,1655.20,1666.06,1654.30,0.0054
"Jan 28, 2013",1654.95,1658.76,1662.81,1652.54,-0.0023
"Jan 25, 2013",1658.69,1667.88,1672.59,1655.78,-0.0054
"Jan 24, 2013",1667.74,1686.35,1686.45,1665.08,-0.0107
"Jan 23, 2013",1685.75,1692.37,1695.61,1683.45,-0.0038
"Jan 22, 2013",1692.10,1690.05,1696.26,1686.64,0.0012
"Jan 21, 2013",1690.05,1684.90,1691.60,1684.90,0.0036
"Jan 18, 2013",1683.95,1687.25,1695.51,1683.60,-0.0022
"Jan 17, 2013",1687.64,1679.79,1695.94,1666.94,0.0048
"Jan 16, 2013",1679.50,1678.65,1685.11,1673.55,0.0004
"Jan 15, 2013",1678.90,1666.94,1685.30,1666.44,0.0070
"Jan 14, 2013",1667.20,1661.95,1674.80,1660.04,0.0025
"Jan 11, 2013",1663.05,1675.28,1677.05,1654.05,-0.0073
"Jan 10, 2013",1675.25,1657.97,1679.21,1654.10,0.0105
"Jan 09, 2013",1657.90,1658.83,1666.41,1651.45,-0.0007
"Jan 08, 2013",1659.00,1647.21,1662.30,1646.64,0.0071
"Jan 07, 2013",1647.25,1656.51,1662.71,1642.75,-0.0058
"Jan 04, 2013",1656.85,1663.42,1664.42,1626.40,-0.0039
"Jan 03, 2013",1663.35,1686.54,1690.00,1660.89,-0.0139
"Jan 02, 2013",1686.75,1675.03,1695.10,1670.39,0.0069
"Jan 01, 2013",1675.15,1675.26,1676.21,1664.55,0.0001
"Dec 31, 2012",1674.95,1656.21,1680.71,1655.71,0.0118
"Dec 28, 2012",1655.40,1663.84,1666.49,1653.44,-0.0051
"Dec 27, 2012",1663.90,1660.31,1665.76,1653.05,0.0023
"Dec 26, 2012",1660.14,1658.12,1667.89,1650.38,0.0007
"Dec 25, 2012",1658.90,1657.91,1663.15,1657.81,0.0009
"Dec 24, 2012",1657.48,1657.79,1665.90,1652.13,0.0003
"Dec 21, 2012",1656.99,1647.64,1659.68,1635.62,0.0056
"Dec 20, 2012",1647.75,1667.22,1672.12,1635.70,-0.0115
"Dec 19, 2012",1666.94,1670.38,1676.99,1663.42,-0.0019
"Dec 18, 2012",1670.15,1698.21,1703.47,1661.62,-0.0164
"Dec 17, 2012",1697.93,1695.76,1700.03,1687.05,0.0015
"Dec 14, 2012",1695.47,1697.41,1700.74,1693.45,-0.0011
"Dec 13, 2012",1697.30,1711.81,1712.11,1689.55,-0.0086
"Dec 12, 2012",1711.95,1709.99,1723.41,1707.84,0.0011
"Dec 11, 2012",1710.10,1712.30,1714.60,1705.04,-0.0001
"Dec 10, 2012",1710.25,1704.45,1717.60,1702.64,0.0039
"Dec 07, 2012",1703.65,1699.31,1705.61,1684.40,0.0027
"Dec 06, 2012",1699.14,1693.87,1703.38,1686.11,0.0030
"Dec 05, 2012",1693.99,1697.47,1707.18,1684.98,-0.0020
"Dec 04, 2012",1697.35,1715.55,1717.67,1691.25,-0.0104
"Dec 03, 2012",1715.25,1713.90,1722.11,1712.99,0.0003
"Nov 30, 2012",1714.80,1725.71,1731.90,1709.09,-0.0061
"Nov 29, 2012",1725.40,1719.50,1728.71,1718.40,0.0033
"Nov 28, 2012",1719.69,1741.92,1743.23,1706.03,-0.0128
"Nov 27, 2012",1742.05,1748.94,1751.80,1738.89,-0.0040
"Nov 26, 2012",1749.10,1753.11,1753.11,1746.10,-0.0022
"Nov 23, 2012",1753.00,1729.55,1754.60,1728.39,0.0136
"Nov 22, 2012",1729.55,1729.09,1732.75,1728.35,0.0003
"Nov 21, 2012",1729.11,1728.57,1732.08,1720.91,0.0003
"Nov 20, 2012",1728.65,1732.11,1735.81,1722.40,-0.0019
"Nov 19, 2012",1731.94,1713.54,1735.34,1713.43,0.0106
"Nov 16, 2012",1713.70,1716.11,1717.51,1706.10,-0.0012
"Nov 15, 2012",1715.80,1726.45,1727.96,1705.30,-0.0062
"Nov 14, 2012",1726.45,1725.50,1733.40,1720.81,0.0006
"Nov 13, 2012",1725.50,1728.51,1733.21,1718.30,-0.0016
"Nov 12, 2012",1728.35,1732.00,1738.41,1725.90,-0.0017
"Nov 09, 2012",1731.24,1731.64,1739.05,1727.05,0.0001
"Nov 08, 2012",1730.99,1717.32,1735.82,1713.61,0.0083
"Nov 07, 2012",1716.69,1715.98,1731.79,1702.97,0.0004
"Nov 06, 2012",1715.95,1684.93,1721.01,1683.80,0.0186
"Nov 05, 2012",1684.60,1677.20,1686.57,1672.85,0.0040
"Nov 02, 2012",1677.85,1714.79,1717.06,1674.44,-0.0215
"Nov 01, 2012",1714.70,1720.66,1727.11,1713.55,-0.0034
"Oct 31, 2012",1720.55,1709.96,1726.05,1709.54,0.0065
"Oct 30, 2012",1709.49,1710.06,1715.61,1705.20,-0.0002
"Oct 29, 2012",1709.85,1711.50,1717.57,1706.00,-0.0009
"Oct 26, 2012",1711.35,1712.00,1718.91,1700.95,-0.0003
"Oct 25, 2012",1711.80,1701.85,1718.21,1701.40,0.0055
"Oct 24, 2012",1702.43,1708.39,1714.56,1698.89,-0.0037
"Oct 23, 2012",1708.70,1728.40,1730.60,1704.11,-0.0120
"Oct 22, 2012",1729.45,1721.80,1729.61,1714.00,0.0050
"Oct 19, 2012",1720.90,1740.59,1743.58,1716.29,-0.0119
"Oct 18, 2012",1741.70,1749.91,1752.40,1738.41,-0.0049
"Oct 17, 2012",1750.30,1748.40,1753.81,1743.20,0.0014
"Oct 16, 2012",1747.80,1736.30,1748.61,1734.90,0.0067
"Oct 15, 2012",1736.10,1753.60,1753.60,1729.36,-0.0103
"Oct 12, 2012",1754.25,1768.79,1773.60,1752.34,-0.0082
"Oct 11, 2012",1768.80,1761.80,1775.31,1758.70,0.0035
"Oct 10, 2012",1762.55,1764.26,1768.41,1757.47,-0.0009
"Oct 09, 2012",1764.15,1775.45,1779.96,1760.55,-0.0061
"Oct 08, 2012",1774.90,1780.71,1780.90,1766.75,-0.0034
"Oct 05, 2012",1780.98,1790.79,1796.19,1772.84,-0.0053
"Oct 04, 2012",1790.55,1779.19,1796.90,1779.19,0.0064
"Oct 03, 2012",1779.15,1774.10,1782.31,1771.00,0.0006
"Oct 02, 2012",1778.00,1776.40,1784.81,1771.57,0.0020
"Oct 01, 2012",1774.40,1771.20,1791.81,1763.55,0.0018
"Sep 28, 2012",1771.22,1777.72,1783.63,1767.53,-0.0038
"Sep 27, 2012",1777.90,1754.90,1780.81,1751.36,0.0147
"Sep 26, 2012",1752.20,1760.50,1766.01,1738.11,-0.0048
"Sep 25, 2012",1760.65,1764.26,1775.51,1758.41,-0.0020
"Sep 24, 2012",1764.15,1773.39,1773.39,1755.80,-0.0050
"Sep 21, 2012",1773.05,1767.30,1787.81,1766.40,0.0036
"Sep 20, 2012",1766.70,1769.85,1772.50,1756.10,-0.0018
"Sep 19, 2012",1769.80,1769.85,1768.35,1765.65,-0.0006
"Sep 18, 2012",1770.95,1761.55,1773.61,1752.95,0.0054
"Sep 17, 2012",1761.45,1774.74,1776.76,1754.59,-0.0062
"Sep 14, 2012",1772.48,1766.44,1778.01,1765.04,0.0032
"Sep 13, 2012",1766.90,1730.65,1772.87,1717.25,0.0204
"Sep 12, 2012",1731.50,1732.54,1746.70,1725.79,-0.0001
"Sep 11, 2012",1731.75,1726.10,1737.91,1725.45,0.0034
"Sep 10, 2012",1725.80,1735.85,1740.26,1724.91,-0.0062
"Sep 07, 2012",1736.50,1701.94,1741.80,1689.20,0.0205
"Sep 06, 2012",1701.65,1693.45,1713.52,1691.65,0.0047
"Sep 05, 2012",1693.65,1695.05,1696.37,1687.65,-0.0016
"Sep 04, 2012",1696.40,1692.99,1700.45,1689.96,0.0024
"Sep 03, 2012",1692.40,1692.20,1695.61,1685.70,0.0007
"Aug 31, 2012",1691.15,1656.15,1693.32,1647.34,0.0211
"Aug 30, 2012",1656.15,1656.55,1664.51,1651.80,-0.0002
"Aug 29, 2012",1656.55,1667.25,1670.15,1652.97,-0.0063
"Aug 28, 2012",1667.03,1663.44,1672.70,1657.44,0.0018
"Aug 27, 2012",1664.10,1671.44,1676.95,1663.09,-0.0037
"Aug 24, 2012",1670.35,1670.14,1673.81,1662.79,-0.0002
"Aug 23, 2012",1670.65,1654.00,1675.41,1652.41,0.0101
"Aug 22, 2012",1654.00,1638.20,1656.41,1634.87,0.0095
"Aug 21, 2012",1638.50,1620.55,1641.81,1618.66,0.0110
"Aug 20, 2012",1620.70,1616.26,1623.01,1610.20,0.0030
"Aug 17, 2012",1615.80,1614.44,1620.10,1611.90,0.0006
"Aug 16, 2012",1614.80,1604.14,1618.99,1600.79,0.0071
"Aug 15, 2012",1603.38,1598.64,1606.40,1590.19,0.0030
"Aug 14, 2012",1598.65,1610.16,1616.81,1594.71,-0.0071
"Aug 13, 2012",1610.15,1620.35,1625.82,1607.71,-0.0061
"Aug 10, 2012",1620.05,1617.64,1626.56,1605.70,0.0015
"Aug 09, 2012",1617.70,1612.10,1618.72,1609.85,0.0036
"Aug 08, 2012",1611.90,1611.29,1617.01,1603.55,0.0004
"Aug 07, 2012",1611.18,1610.99,1618.41,1609.09,0.0001
"Aug 06, 2012",1611.00,1605.00,1615.61,1602.85,0.0042
"Aug 03, 2012",1604.30,1590.28,1606.91,1586.74,0.0088
"Aug 02, 2012",1590.35,1599.25,1614.90,1585.10,-0.0055
"Aug 01, 2012",1599.20,1599.25,1618.90,1592.35,-0.0091
"Jul 31, 2012",1613.90,1621.30,1628.31,1610.95,-0.0044
"Jul 30, 2012",1621.10,1625.10,1626.70,1614.85,-0.0013
"Jul 27, 2012",1623.28,1616.14,1629.60,1611.99,0.0044
"Jul 26, 2012",1616.20,1605.00,1622.02,1601.50,0.0067
"Jul 25, 2012",1605.38,1581.44,1611.41,1579.94,0.0157
"Jul 24, 2012",1580.50,1580.40,1584.66,1568.35,0.0023
"Jul 23, 2012",1576.90,1582.64,1584.26,1564.49,-0.0042
